plan_id,rescue_experiment,method,scenario_family,target_status,primary_metric_name,primary_metric_unit,n_anchors_total,n_anchors_valid,bootstrap_replicates,bootstrap_seed,error_A_point_estimate,error_A_ci_lower_95,error_A_ci_upper_95,error_B_point_estimate,error_B_ci_lower_95,error_B_ci_upper_95,error_C_point_estimate,error_C_ci_lower_95,error_C_ci_upper_95,delta_add_point_estimate,delta_add_ci_lower_95,delta_add_ci_upper_95,delta_rescue_point_estimate,delta_rescue_ci_lower_95,delta_rescue_ci_upper_95,delta_remaining_point_estimate,delta_remaining_ci_lower_95,delta_remaining_ci_upper_95,mechanism_conclusion,rescue_fraction_of_median_degradation
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,difficult,circular_absolute_error_radians,radians,11,11,2000,1492235378,0.11819712569396401,0.07668662700706541,0.16643788817832794,0.11479334629114035,0.09241375623340975,0.18527641247556437,0.11539413215950978,0.07509620495402691,0.170155055503884,0.014442148004661703,0.00040679508487784233,0.02472549270179414,0.011039601042568847,0.0015708430416658814,0.02104158183729865,0.00041607528529397086,-0.0004994186774140985,0.0029458474673624835,full_rescue,0.7644016000255248
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,eligible,circular_absolute_error_radians,radians,41,41,2000,1616326653,0.10719239896632105,0.08844898631480702,0.1220199402672244,0.11632563739420698,0.10303968364832539,0.1354901968361486,0.1056721807666412,0.08854264773101983,0.12060000801678017,0.012260487446841273,0.003967718003682563,0.018094947966058816,0.010236378277088676,0.0042534164195338064,0.017622825232717076,0.0004108138462974864,-0.0001323235136965195,0.000620958430339158,full_rescue,0.8349079366926738
ART_CWT_PHASE,artifact,CWT_pyBOAT,phase_shift_hours,ineligible,circular_absolute_error_radians,radians,1,1,0,3399356191,0.060746659276013304,,,0.10638010684023946,,,0.06284147735050283,,,0.01368148748964848,,,0.017113925527518115,,,0.0011415839973309971,,,not_estimable,1.2508819337419739
ART_CWT_POST_PERIOD,artifact,CWT_pyBOAT,post_period_hours,difficult,absolute_error_hours,hours,3,3,2000,235765145,0.043458974037386966,0.01907018347586309,0.18036410997247643,0.1069781682332156,0.053410238196253346,0.2412286474026395,0.046609526863013784,0.0255009511533153,0.18405585077448272,0.084820138348352,0.0009839406824294628,0.13652176968759733,0.0703517587939686,0.0004919703412173959,0.16952042230085773,0.0,0.0,0.0,full_rescue,0.8294228253323226
ART_CWT_POST_PERIOD,artifact,CWT_pyBOAT,post_period_hours,eligible,absolute_error_hours,hours,49,49,2000,1188709606,0.02778599630609513,0.023902765213386034,0.04962853442834714,0.07945149639549065,0.07101202404615847,0.09696205574634043,0.02961578156643263,0.02542924952245862,0.0488426072589494,0.05414129015864155,0.031153404205013092,0.0628041250704161,0.0526387967819808,0.030870757231024726,0.0649400850405879,0.0,0.0,0.0,full_rescue,0.9722486595303097
ART_CWT_POST_PERIOD,artifact,CWT_pyBOAT,post_period_hours,ineligible,absolute_error_hours,hours,1,1,0,1624205875,0.02769192842863788,,,0.11442240657142655,,,0.03822353993798977,,,0.06131419324463394,,,0.047205812581188056,,,0.0,,,not_estimable,0.769900247938423
ART_CWT_PRE_PERIOD,artifact,CWT_pyBOAT,pre_period_hours,difficult,absolute_error_hours,hours,10,10,2000,2348987374,0.05064235111304427,0.027554274675456902,0.15300347247726975,0.10630875257420147,0.06136580334920971,0.11739336665828581,0.050698703463811334,0.03089238240488079,0.1528687029546436,0.008819915867223749,-0.035175879396986076,0.08590177102102992,0.007587704225175074,-0.0322240573496817,0.07743959349235219,0.0,0.0,0.0,no_confirmed_degradation,0.8602921319660457
ART_CWT_PRE_PERIOD,artifact,CWT_pyBOAT,pre_period_hours,eligible,absolute_error_hours,hours,42,42,2000,29362568,0.018669408216751116,0.016748443946661418,0.020812192196837387,0.05617112193244278,0.047637934612614785,0.06522273868578932,0.018669408216751116,0.016736853805840113,0.021809221505544762,0.037512968334540986,0.02678765474405509,0.045650875139367386,0.03509268379642272,0.02551237666351458,0.04657439171885436,0.0,0.0,0.0,full_rescue,0.9354813909543455
ART_CWT_PRE_PERIOD,artifact,CWT_pyBOAT,pre_period_hours,ineligible,absolute_error_hours,hours,1,1,0,1844813297,0.050086358535713416,,,0.1753466297562678,,,0.05008635853571164,,,0.11460065190310331,,,0.11460065190310509,,,0.0,,,not_estimable,1.0000000000000155
ART_CWT_PYBOAT_POST_AMPLITUDE,artifact,CWT_pyBOAT,post_amplitude_trajectory,difficult,target_segment_calibrated_absolute_nrmse,NRMSE,10,10,2000,3343590607,1.473991841687668,0.32916745369590034,2.2938323601159976,1.4819506239294717,0.3268827305275306,2.2975567326921005,1.4720525239258484,0.3284121364325483,2.2844434860629907,-0.00015144608372991142,-0.0016001356624891514,0.0006430691377917186,0.00021747640564829043,-0.001018259207961239,0.0017768514840264087,-0.0006912573309840186,-0.0023001944263536522,-0.0001716671321647656,no_confirmed_degradation,-1.435998873606645
