scenario_number,scenario_id,profile_type,direction,duration_hours,method,metric,primary_metric,n_anchors_total,n_anchors_valid,median,ci95_low,ci95_high,bootstrap_repeats
1,constant_24h,constant,none,,CWT_pyBOAT,primary_rmse_hours,True,53,53,0.046367721954745804,0.04069590126034195,0.051965553482090414,2000
1,constant_24h,constant,none,,CWT_pyBOAT,full_trajectory_rmse_hours,False,53,53,0.046367721954745804,0.04069590126034195,0.051747853655470806,2000
1,constant_24h,constant,none,,CWT_pyBOAT,primary_bias_hours,False,53,53,-0.028155086703720765,-0.03211373177490529,-0.02206838387750674,2000
1,constant_24h,constant,none,,CWT_pyBOAT,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
1,constant_24h,constant,none,,Hilbert,primary_rmse_hours,True,53,53,0.2497739479366653,0.23605388076841785,0.26898950956935946,2000
1,constant_24h,constant,none,,Hilbert,full_trajectory_rmse_hours,False,53,53,0.2497739479366653,0.23605388076841785,0.26898950956935946,2000
1,constant_24h,constant,none,,Hilbert,primary_bias_hours,False,53,53,0.08354770600648932,0.06881473905139934,0.09250866013671068,2000
1,constant_24h,constant,none,,Hilbert,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
1,constant_24h,constant,none,,STFT,primary_rmse_hours,True,53,53,0.1148878849487502,0.10917386712248828,0.12955325575009358,2000
1,constant_24h,constant,none,,STFT,full_trajectory_rmse_hours,False,53,53,0.1148878849487502,0.10917386712248828,0.12955325575009358,2000
1,constant_24h,constant,none,,STFT,primary_bias_hours,False,53,53,-0.06851975674212883,-0.07559663660621875,-0.065992299647811,2000
1,constant_24h,constant,none,,STFT,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
2,linear_21to27h,linear_chirp,lengthening,,CWT_pyBOAT,primary_rmse_hours,True,53,53,0.08839695043877276,0.0752153138114326,0.10135610584282438,2000
2,linear_21to27h,linear_chirp,lengthening,,CWT_pyBOAT,full_trajectory_rmse_hours,False,53,53,0.08839695043877276,0.0752153138114326,0.10135610584282438,2000
2,linear_21to27h,linear_chirp,lengthening,,CWT_pyBOAT,primary_bias_hours,False,53,53,-0.03650420331328825,-0.04096014582944562,-0.03426706095475512,2000
2,linear_21to27h,linear_chirp,lengthening,,CWT_pyBOAT,primary_pearson,False,53,53,0.9991756168836493,0.998927480226008,0.9993258588657304,2000
2,linear_21to27h,linear_chirp,lengthening,,CWT_pyBOAT,dynamic_range_ratio,False,53,53,0.9029406290712793,0.8900212543428597,0.9243290449320564,2000
2,linear_21to27h,linear_chirp,lengthening,,CWT_pyBOAT,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
2,linear_21to27h,linear_chirp,lengthening,,Hilbert,primary_rmse_hours,True,53,53,0.3969183293289751,0.36688666129428055,0.42433448351622577,2000
2,linear_21to27h,linear_chirp,lengthening,,Hilbert,full_trajectory_rmse_hours,False,53,53,0.3969183293289751,0.36688666129428055,0.42433448351622577,2000
2,linear_21to27h,linear_chirp,lengthening,,Hilbert,primary_bias_hours,False,53,53,0.011973216275119825,-0.0009629091355067375,0.016787776705925895,2000
2,linear_21to27h,linear_chirp,lengthening,,Hilbert,primary_pearson,False,53,53,0.9617736818662297,0.9558514025790136,0.9678438641754453,2000
2,linear_21to27h,linear_chirp,lengthening,,Hilbert,dynamic_range_ratio,False,53,53,1.00606482615782,0.9897192158741253,1.0194257463630958,2000
2,linear_21to27h,linear_chirp,lengthening,,Hilbert,within_1h_fraction,False,53,53,0.9473684210526315,0.9473684210526315,0.9736842105263158,2000
2,linear_21to27h,linear_chirp,lengthening,,STFT,primary_rmse_hours,True,53,53,0.14417759961460774,0.14115529344122993,0.1522122866006837,2000
2,linear_21to27h,linear_chirp,lengthening,,STFT,full_trajectory_rmse_hours,False,53,53,0.14417759961460774,0.14115529344122993,0.1522122866006837,2000
2,linear_21to27h,linear_chirp,lengthening,,STFT,primary_bias_hours,False,53,53,-0.03469752703443472,-0.03829795147174855,-0.03074629764880586,2000
2,linear_21to27h,linear_chirp,lengthening,,STFT,primary_pearson,False,53,53,0.9949212863691128,0.994794589386246,0.9954124875173103,2000
2,linear_21to27h,linear_chirp,lengthening,,STFT,dynamic_range_ratio,False,53,53,0.9705823039156373,0.9530729248542299,0.9717295643221565,2000
2,linear_21to27h,linear_chirp,lengthening,,STFT,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
3,linear_27to21h,linear_chirp,shortening,,CWT_pyBOAT,primary_rmse_hours,True,53,53,0.08844637135340516,0.0699915232088231,0.11050179390480432,2000
3,linear_27to21h,linear_chirp,shortening,,CWT_pyBOAT,full_trajectory_rmse_hours,False,53,53,0.08844637135340516,0.0699915232088231,0.11050179390480432,2000
3,linear_27to21h,linear_chirp,shortening,,CWT_pyBOAT,primary_bias_hours,False,53,53,-0.027793804136069834,-0.03708213789035778,-0.022975174385240858,2000
3,linear_27to21h,linear_chirp,shortening,,CWT_pyBOAT,primary_pearson,False,53,53,0.9990212507421028,0.9983857423720467,0.9994576200473605,2000
3,linear_27to21h,linear_chirp,shortening,,CWT_pyBOAT,dynamic_range_ratio,False,53,53,0.9137893560004091,0.8938413469401718,0.9243290449320571,2000
3,linear_27to21h,linear_chirp,shortening,,CWT_pyBOAT,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
3,linear_27to21h,linear_chirp,shortening,,Hilbert,primary_rmse_hours,True,53,53,0.32071692655959566,0.3137174069022775,0.35690993091175977,2000
3,linear_27to21h,linear_chirp,shortening,,Hilbert,full_trajectory_rmse_hours,False,53,53,0.32071692655959566,0.3137174069022775,0.35690993091175977,2000
3,linear_27to21h,linear_chirp,shortening,,Hilbert,primary_bias_hours,False,53,53,0.10231751391197083,0.09618469546874589,0.12028923638731974,2000
3,linear_27to21h,linear_chirp,shortening,,Hilbert,primary_pearson,False,53,53,0.976103139526938,0.9715977885966947,0.9775479719162531,2000
3,linear_27to21h,linear_chirp,shortening,,Hilbert,dynamic_range_ratio,False,53,53,0.965105683436485,0.9213089392729238,0.9891362519448262,2000
3,linear_27to21h,linear_chirp,shortening,,Hilbert,within_1h_fraction,False,53,53,0.9736842105263158,0.9534883720930233,0.9767441860465116,2000
3,linear_27to21h,linear_chirp,shortening,,STFT,primary_rmse_hours,True,53,53,0.14684352538379053,0.14610377702924543,0.14762564880424742,2000
3,linear_27to21h,linear_chirp,shortening,,STFT,full_trajectory_rmse_hours,False,53,53,0.14684352538379053,0.14610377702924543,0.14762564880424742,2000
3,linear_27to21h,linear_chirp,shortening,,STFT,primary_bias_hours,False,53,53,-0.03783012291444901,-0.038239439667256105,-0.03589108978522264,2000
3,linear_27to21h,linear_chirp,shortening,,STFT,primary_pearson,False,53,53,0.9952089010154963,0.9947945893862461,0.9954289175676828,2000
3,linear_27to21h,linear_chirp,shortening,,STFT,dynamic_range_ratio,False,53,53,0.9530729248542299,0.9510515612808385,0.9705823039156373,2000
3,linear_27to21h,linear_chirp,shortening,,STFT,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,CWT_pyBOAT,primary_rmse_hours,True,53,53,0.6089318410033377,0.6087675945067249,0.6090988744634457,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,CWT_pyBOAT,full_trajectory_rmse_hours,False,53,53,0.3574218189107292,0.3545227090471389,0.37247993494875514,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,CWT_pyBOAT,primary_bias_hours,False,53,53,-0.08899705806940972,-0.09506916428531349,-0.08238656780375031,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,CWT_pyBOAT,primary_pearson,False,53,53,0.951722097807938,0.9509507926348694,0.9522056432550248,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,CWT_pyBOAT,dynamic_range_ratio,False,53,53,0.8561923838305722,0.853896522238229,0.8601281465603066,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,CWT_pyBOAT,timing_error_hours,False,53,53,2.255599236059794,2.2360180595891848,2.2764414726488837,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,CWT_pyBOAT,absolute_timing_error_hours,False,53,53,2.255599236059794,2.2360180595891848,2.2764414726488837,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,CWT_pyBOAT,within_1h_fraction,False,53,53,0.9285714285714286,0.9285714285714286,0.9285714285714286,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,Hilbert,primary_rmse_hours,True,53,53,0.37797271651693076,0.37696876434933163,0.4046080052722164,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,Hilbert,full_trajectory_rmse_hours,False,53,53,0.38642584661908524,0.36801462888988606,0.41353198443059325,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,Hilbert,primary_bias_hours,False,53,53,0.06370830370951681,0.05848348876288258,0.14395192728428569,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,Hilbert,primary_pearson,False,53,53,0.9671562751217266,0.9644663966031792,0.9676800741735606,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,Hilbert,dynamic_range_ratio,False,53,53,1.1070865974080053,1.0790274247321594,1.1388476673501,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,Hilbert,timing_error_hours,False,53,53,-0.5308402929258307,-2.22708785349937,-0.4471564643041859,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,Hilbert,absolute_timing_error_hours,False,53,53,0.5308402929258307,0.4471564643041859,2.22708785349937,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,Hilbert,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,primary_rmse_hours,True,53,53,0.3003328155971629,0.2699049057486116,0.30622694033783776,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,full_trajectory_rmse_hours,False,53,53,0.2203077706400638,0.21756675142152776,0.22293387473498086,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,primary_bias_hours,False,53,53,0.0024793086505468915,-0.02268465207478216,0.016859832236867028,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,primary_pearson,False,53,53,0.9769088612582407,0.9759603160061039,0.9811448415428938,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,dynamic_range_ratio,False,53,53,1.1178167641325547,1.1178167641325547,1.1178167641325547,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,timing_error_hours,False,53,53,1.8330478125000127,1.832927812500003,1.8838851562500167,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,absolute_timing_error_hours,False,53,53,1.8330478125000127,1.832927812500003,1.8838851562500167,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,STFT,within_1h_fraction,False,53,53,1.0,1.0,1.0,2000
5,transient_lengthening_24h,causal_transient_pulse,lengthening,24.0,CWT_pyBOAT,primary_rmse_hours,True,53,53,0.8068428141534904,0.806573772236504,0.8075616696640382,2000
