scenario_number,scenario_id,profile_type,direction,duration_hours,metric,method_a,method_b,difference_definition,lower_is_better,n_anchor_pairs,median_difference_hours,ci95_low,ci95_high,bootstrap_repeats
1,constant_24h,constant,none,,primary_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,-0.0778919014989437,-0.09606844110903062,-0.05840572837789979,2000
1,constant_24h,constant,none,,primary_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.1322251671999869,0.09167402865932628,0.1402499863309873,2000
1,constant_24h,constant,none,,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,0.20266886215868535,0.19658592423897273,0.22628151629254792,2000
1,constant_24h,constant,none,,full_trajectory_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,-0.0778919014989437,-0.09606844110903062,-0.05840572837789979,2000
1,constant_24h,constant,none,,full_trajectory_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.1322251671999869,0.09167402865932628,0.1402499863309873,2000
1,constant_24h,constant,none,,full_trajectory_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,0.20266886215868535,0.19658592423897273,0.22638415756433147,2000
2,linear_21to27h,linear_chirp,lengthening,,primary_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,-0.05405325422400051,-0.0702221324604303,-0.043808377869701584,2000
2,linear_21to27h,linear_chirp,lengthening,,primary_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.2514261973023847,0.22162027609157983,0.27212219691554207,2000
2,linear_21to27h,linear_chirp,lengthening,,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,0.3158640354945273,0.2811436918923072,0.35853370071528146,2000
2,linear_21to27h,linear_chirp,lengthening,,full_trajectory_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,-0.05405325422400051,-0.0702221324604303,-0.043808377869701584,2000
2,linear_21to27h,linear_chirp,lengthening,,full_trajectory_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.2514261973023847,0.22162027609157983,0.27212219691554207,2000
2,linear_21to27h,linear_chirp,lengthening,,full_trajectory_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,0.3158640354945273,0.2830771158803837,0.35853370071528146,2000
3,linear_27to21h,linear_chirp,shortening,,primary_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,-0.05975497780376794,-0.07650383514027616,-0.028779251676889175,2000
3,linear_27to21h,linear_chirp,shortening,,primary_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.1727463085043744,0.16125428282376641,0.2096605593109093,2000
3,linear_27to21h,linear_chirp,shortening,,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,0.24939703111167288,0.2417667478362649,0.2739351181600728,2000
3,linear_27to21h,linear_chirp,shortening,,full_trajectory_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,-0.05975497780376794,-0.07650383514027616,-0.028779251676889175,2000
3,linear_27to21h,linear_chirp,shortening,,full_trajectory_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.1727463085043744,0.16125428282376641,0.2096605593109093,2000
3,linear_27to21h,linear_chirp,shortening,,full_trajectory_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,0.24939703111167288,0.2417667478362649,0.2739351181600728,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,primary_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.3097427864969174,0.3026561141547918,0.34103373429218853,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,primary_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.0772217932693835,0.07149161011029498,0.13543688513950447,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.22995581411888477,-0.23134304028032265,-0.20526640206508423,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,full_trajectory_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.13711404827066542,0.13228611698387538,0.15370602056917423,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,full_trajectory_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.16182444653974842,0.1436285452552959,0.1913141909715424,2000
4,sustained_lengthening_24h,causal_sustained_transition,lengthening,24.0,full_trajectory_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,0.028430123035471377,0.015031229462728168,0.0542962319761332,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,primary_rmse_hours,STFT,CWT_pyBOAT,method_b_minus_method_a,True,53,0.22306130237574737,0.22013561561302666,0.22755909630164198,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,primary_rmse_hours,STFT,Hilbert,method_b_minus_method_a,True,53,0.05570737520723193,0.05245216519096965,0.06230035152784483,2000
8,sustained_lengthening_48h,causal_sustained_transition,lengthening,48.0,primary_rmse_hours,CWT_pyBOAT,Hilbert,method_b_minus_method_a,True,53,-0.17340446809078486,-0.17802889984986148,-0.1505667648244841,2000
