recording_uid,recording_id,animal_id,sex,tissue,batch,sample_code,scn_region,level,method,forskolin_time_days,sampling_interval_minutes,event_exclusion_hours,edge_exclusion_hours,n_pre_estimates,n_post_estimates,period_boundary_fraction_stable,pre_period_hours,post_period_hours,period_change_hours_post_minus_pre,phase_shift_angle_radians,phase_shift_hours
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,20250703_m2,F,DRG,250625 to 250728,L1m2,,L1,CWT_pyBOAT,7.715275,20.00159999999994,32.0,32.0,314,261,0.10260869565217391,24.39635239132719,24.424640685947146,0.028288294619954968,3.1295106574196154,12.165353971491838
250625 to 250728::1C-SCN_Raw.csv,1C-SCN,20250626_M1,M,SCN,250625 to 250728,SCN,whole_or_unspecified,,CWT_pyBOAT,7.720135,20.00159999999994,32.0,32.0,318,261,0.0,24.788944723618012,25.814456899883957,1.025512176265945,0.177239473943132,0.7281880984530247
250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,20250703_m2,F,DRG,250625 to 250728,L2m2,,L2,CWT_pyBOAT,7.716665,20.00159999999994,32.0,32.0,315,261,0.0,24.617985030045258,24.993850370734712,0.37586534068945454,1.9869640733546134,7.903934121551975
250625 to 250728::2C-L3m2_Raw.csv,2C-L3m2,20250703_m2,F,DRG,250625 to 250728,L3m2,,L3,CWT_pyBOAT,7.722225,20.00159999999994,32.0,32.0,315,260,0.08695652173913043,26.130793829286212,24.54271356783912,-1.588080261447093,-2.815229092757349,-10.996549977992933
250625 to 250728::2D-L4m2_Raw.csv,2D-L4m2,20250703_m2,F,DRG,250625 to 250728,L4m2,,L4,CWT_pyBOAT,7.71875,20.00159999999994,32.0,32.0,315,261,0.14930555555555555,25.394806198826224,24.61306532663309,-0.7817408721931329,2.522102862096375,9.879810871459323
250625 to 250728::3A-L5m2_Raw.csv,3A-L5m2,20250703_m2,F,DRG,250625 to 250728,L5m2,,L5,CWT_pyBOAT,7.725695,20.00159999999994,32.0,32.0,315,260,0.0,23.98432723055831,23.95308711389106,-0.031240116667252238,0.9701514445976613,3.698461994995056
250625 to 250728::3B-T10m2_Raw.csv,3B-T10m2,20250703_m2,F,DRG,250625 to 250728,T10m2,,T10,CWT_pyBOAT,7.71875,20.00159999999994,32.0,32.0,315,261,0.13368055555555555,25.217204905647037,23.839195979899422,-1.378008925747615,2.648290652093074,10.047948099643396
250625 to 250728::4B-T12m2_Raw.csv,4B-T12m2,20250703_m2,F,DRG,250625 to 250728,T12m2,,T12,CWT_pyBOAT,7.720135,20.00159999999994,32.0,32.0,315,261,0.18229166666666666,24.3965983764978,24.501388059176925,0.10478968267912592,2.8730546708282603,11.203525594694359
250625 to 250728::4C-T5m1_Raw.csv,4C-T5m1,20250703_m1,F,DRG,250625 to 250728,T5m1,,T5,CWT_pyBOAT,7.725695,20.00159999999994,32.0,32.0,315,260,0.11304347826086956,26.888920125100945,25.316582914572784,-1.5723372105281612,-3.057413678421625,-12.31911253762704
250625 to 250728::4D-T7m1_Raw.csv,4D-T7m1,20250703_m1,F,DRG,250625 to 250728,T7m1,,T7,CWT_pyBOAT,7.722225,20.00159999999994,32.0,32.0,315,260,0.059130434782608696,25.25705450328558,24.296482412060225,-0.9605720912253553,2.278079681865705,8.809118340099891
