method,metric,analysis_role,circular,animal_id,sex,tissue,value,n_recordings_collapsed,n_anatomical_units_collapsed,recording_ids
CWT_pyBOAT,pre_period_hours,primary,False,20250703_m2,F,DRG,24.617985030045258,8,7,1B-L1m2 | 1D-L2m2 | 2C-L3m2 | 2D-L4m2 | 3A-L5m2 | 3B-T10m2 | 4B-T12m2 | 5B-T12m2
CWT_pyBOAT,pre_period_hours,primary,False,20250626_M1,M,SCN,24.788944723618012,1,1,1C-SCN
CWT_pyBOAT,pre_period_hours,primary,False,20250703_m1,F,DRG,25.03738974593238,6,6,4C-T5m1 | 4D-T7m1 | 5A-T10m1 | 8B-L2m1 | 8C-L3m1 | 8D-L4-1m1
CWT_pyBOAT,pre_period_hours,primary,False,20250626_M1,M,DRG,24.219981024001047,7,7,5C-T12 | 5D-T10 | 6A-T7 | 6B-T5 | 7C-L1 | 7D-L2 | 8A-L3
CWT_pyBOAT,pre_period_hours,primary,False,20250703_m1,F,SCN,24.324770706680177,1,1,6C-SCNmm1
CWT_pyBOAT,pre_period_hours,primary,False,20250703_m2,F,SCN,24.754260814562244,2,2,7A-SCNmm2 | 7B-SCNcm2
CWT_pyBOAT,pre_period_hours,primary,False,20250728_M1,F,SCN,24.894472361808965,2,2,6A-SCNrM1 | 7A-SCNcM1
CWT_pyBOAT,pre_period_hours,primary,False,20250728_M2,F,SCN,24.90849351653364,2,2,6B-SCNrM2 | 7B-SCNcM2
CWT_pyBOAT,pre_period_hours,primary,False,20250811_1F,F,SCN,25.190638507221344,1,1,1A-1FSCN
CWT_pyBOAT,pre_period_hours,primary,False,20250811_2M,M,SCN,24.971711705379967,1,1,1B-2MSCN
CWT_pyBOAT,pre_period_hours,primary,False,20250811_3F,F,SCN,24.29033278279502,1,1,1C-3FSCN
CWT_pyBOAT,pre_period_hours,primary,False,20250811_4F,F,SCN,24.337069965210596,1,1,1D-4FSCN
