recording_uid,recording_id,animal_id,sex,tissue,batch,sample_code,scn_region,level,method,forskolin_time_days,sampling_interval_minutes,event_exclusion_hours,n_pre_estimates,n_post_estimates,period_boundary_fraction_stable,pre_amplitude_counts,post_amplitude_counts,amplitude_ratio_post_over_pre,amplitude_log_ratio_post_over_pre,pre_envelope_log_rate_per_day,post_envelope_log_rate_per_day,envelope_log_rate_change_post_minus_pre_per_day,amplitude_correction_factor
250625 to 250728::1B-L1m2_Raw.csv,1B-L1m2,20250703_m2,F,DRG,250625 to 250728,L1m2,,L1,STFT,7.715275,20.00159999999994,30.0,19,15,0.029411764705882353,1.9946501176137583,5.013216221597288,2.513331123753525,0.9216090142082088,-0.3389535047845838,-0.3836781427392469,-0.04472463795466308,1.018727798664016
250625 to 250728::1C-SCN_Raw.csv,1C-SCN,20250626_M1,M,SCN,250625 to 250728,SCN,whole_or_unspecified,,STFT,7.720135,20.00159999999994,30.0,19,15,0.029411764705882353,12.907307772857232,4.663528493528032,0.36130915723067847,-1.0180212959222752,-0.26856770222118237,-0.39164062833532265,-0.12307292611414028,1.018727798664016
250625 to 250728::1D-L2m2_Raw.csv,1D-L2m2,20250703_m2,F,DRG,250625 to 250728,L2m2,,L2,STFT,7.716665,20.00159999999994,30.0,19,15,0.17647058823529413,0.7330501730257644,1.35058938688121,1.8424242113012108,0.611082210613206,-0.2701505039125526,-0.35750678597543706,-0.08735628206288448,1.018727798664016
250625 to 250728::2C-L3m2_Raw.csv,2C-L3m2,20250703_m2,F,DRG,250625 to 250728,L3m2,,L3,STFT,7.722225,20.00159999999994,30.0,19,15,0.14705882352941177,3.2282209762631764,13.26542036352488,4.109204562223077,1.4132294726054073,-0.19021805972780134,-0.4655894655335009,-0.2753714058056995,1.018727798664016
250625 to 250728::2D-L4m2_Raw.csv,2D-L4m2,20250703_m2,F,DRG,250625 to 250728,L4m2,,L4,STFT,7.71875,20.00159999999994,30.0,19,15,0.08823529411764706,2.5846183387602806,8.140409895561257,3.1495597525883947,1.1472626819870022,-0.05926711290659474,-0.1425669669576607,-0.08329985405106595,1.018727798664016
250625 to 250728::3A-L5m2_Raw.csv,3A-L5m2,20250703_m2,F,DRG,250625 to 250728,L5m2,,L5,STFT,7.725695,20.00159999999994,30.0,19,15,0.0,1.8953855782870959,1.933286631586119,1.019996487117558,0.019799183287854977,-0.20902167233477542,-0.4490718185866761,-0.2400501462519007,1.018727798664016
250625 to 250728::3B-T10m2_Raw.csv,3B-T10m2,20250703_m2,F,DRG,250625 to 250728,T10m2,,T10,STFT,7.71875,20.00159999999994,30.0,19,15,0.11764705882352941,6.69954590763852,19.49875850419211,2.9104597196595825,1.0683110479704525,-0.23315321591280622,-0.4368660959966774,-0.2037128800838712,1.018727798664016
250625 to 250728::4B-T12m2_Raw.csv,4B-T12m2,20250703_m2,F,DRG,250625 to 250728,T12m2,,T12,STFT,7.720135,20.00159999999994,30.0,19,15,0.08823529411764706,3.654660673671993,20.18849183119886,5.524040022822317,1.709109480781899,0.164130605844982,-0.3279626752841731,-0.4920932811291551,1.018727798664016
250625 to 250728::4C-T5m1_Raw.csv,4C-T5m1,20250703_m1,F,DRG,250625 to 250728,T5m1,,T5,STFT,7.725695,20.00159999999994,30.0,19,15,0.17647058823529413,1.1984778579721098,5.034885217781494,4.201066531425783,1.4353384291067781,-0.44062679701333257,-0.32591656903337846,0.11471022797995412,1.018727798664016
250625 to 250728::4D-T7m1_Raw.csv,4D-T7m1,20250703_m1,F,DRG,250625 to 250728,T7m1,,T7,STFT,7.722225,20.00159999999994,30.0,19,15,0.17647058823529413,2.144154736744278,2.3998955345802044,1.1192734803385729,0.11267979655509473,-0.34569783338023885,-0.37675716124033015,-0.0310593278600913,1.018727798664016
