method,metric,analysis_role,circular,animal_id,sex,level,spinal_position,spinal_region,value,n_recordings_collapsed,recording_ids
CWT_pyBOAT,baseline_period_hours,primary,False,20250703_m2,F,L1,13.0,lumbar,24.39635239132719,1,1B-L1m2
CWT_pyBOAT,baseline_period_hours,primary,False,20250703_m2,F,L2,14.0,lumbar,24.617985030045254,1,1D-L2m2
CWT_pyBOAT,baseline_period_hours,primary,False,20250703_m2,F,L3,15.0,lumbar,26.13079382928621,1,2C-L3m2
CWT_pyBOAT,baseline_period_hours,primary,False,20250703_m2,F,L4,16.0,lumbar,25.394806198826224,1,2D-L4m2
CWT_pyBOAT,baseline_period_hours,primary,False,20250703_m2,F,L5,17.0,lumbar,23.98432723055831,1,3A-L5m2
CWT_pyBOAT,baseline_period_hours,primary,False,20250703_m2,F,T10,10.0,thoracic,25.21720490564704,1,3B-T10m2
CWT_pyBOAT,baseline_period_hours,primary,False,20250703_m2,F,T12,12.0,thoracic,24.182099307727373,2,4B-T12m2 | 5B-T12m2
CWT_pyBOAT,baseline_period_hours,primary,False,20250703_m1,F,T5,5.0,thoracic,26.888920125100945,1,4C-T5m1
CWT_pyBOAT,baseline_period_hours,primary,False,20250703_m1,F,T7,7.0,thoracic,25.25705450328558,1,4D-T7m1
CWT_pyBOAT,baseline_period_hours,primary,False,20250703_m1,F,T10,10.0,thoracic,23.276381909547663,1,5A-T10m1
CWT_pyBOAT,baseline_period_hours,primary,False,20250626_M1,M,T12,12.0,thoracic,26.623256140844,1,5C-T12
CWT_pyBOAT,baseline_period_hours,primary,False,20250626_M1,M,T10,10.0,thoracic,24.841585550128183,1,5D-T10
CWT_pyBOAT,baseline_period_hours,primary,False,20250626_M1,M,T7,7.0,thoracic,24.03204835365632,1,6A-T7
CWT_pyBOAT,baseline_period_hours,primary,False,20250626_M1,M,T5,5.0,thoracic,24.04410162701612,1,6B-T5
